driver,ticker,lookback,threshold,holding,year,event_count,win_count,lose_count,win_rate_pct,avg_return_pct,best_return_pct,worst_return_pct,annual_return_pct,capital_end_year
GOLD,ANTM.JK,1,0.5,1,2026,7,5,2,71.43,2.11,11.59,-4.12,14.97,1149730.0
GOLD,ANTM.JK,1,0.5,2,2026,7,6,1,85.71,1.08,3.78,-6.29,7.45,1074528.0
GOLD,ANTM.JK,1,0.5,3,2026,7,4,3,57.14,0.06,5.22,-8.68,-0.19,998125.0
GOLD,ANTM.JK,1,0.5,5,2026,7,4,3,57.14,0.04,12.46,-14.75,-2.23,977693.0
GOLD,ANTM.JK,1,0.5,10,2026,7,2,5,28.57,-2.67,23.77,-17.25,-22.24,777613.0
GOLD,ANTM.JK,1,1.0,1,2026,7,5,2,71.43,1.74,11.59,-4.12,12.14,1121368.0
GOLD,ANTM.JK,1,1.0,2,2026,7,4,3,57.14,-1.64,3.78,-10.0,-11.72,882803.0
GOLD,ANTM.JK,1,1.0,3,2026,7,4,3,57.14,-0.88,5.22,-8.68,-6.71,932912.0
GOLD,ANTM.JK,1,1.0,5,2026,7,5,2,71.43,0.61,12.46,-14.75,0.92,1009209.0
GOLD,ANTM.JK,1,1.0,10,2026,6,3,3,50.0,2.32,23.77,-15.62,9.54,1095403.0
GOLD,ANTM.JK,1,1.5,1,2026,6,4,2,66.67,1.79,11.59,-4.12,10.51,1105085.0
GOLD,ANTM.JK,1,1.5,2,2026,6,5,1,83.33,0.7,3.78,-6.29,3.95,1039497.0
GOLD,ANTM.JK,1,1.5,3,2026,6,4,2,66.67,0.13,5.22,-8.68,0.15,1001531.0
GOLD,ANTM.JK,1,1.5,5,2026,6,4,2,66.67,0.1,12.46,-14.75,-1.9,981028.0
GOLD,ANTM.JK,1,1.5,10,2026,6,2,4,33.33,-1.88,23.77,-17.25,-16.02,839846.0
GOLD,ANTM.JK,1,2.0,1,2026,6,3,3,50.0,0.63,11.59,-6.44,2.88,1028773.0
GOLD,ANTM.JK,1,2.0,2,2026,6,4,2,66.67,-0.44,3.78,-6.29,-3.05,969547.0
GOLD,ANTM.JK,1,2.0,3,2026,6,3,3,50.0,-1.24,5.22,-8.68,-8.08,919210.0
GOLD,ANTM.JK,1,2.0,5,2026,6,3,3,50.0,-1.98,12.46,-14.75,-13.86,861384.0
GOLD,ANTM.JK,1,2.0,10,2026,6,2,4,33.33,-4.46,23.77,-23.45,-30.13,698655.0
GOLD,ANTM.JK,1,2.5,1,2026,6,4,2,66.67,1.24,11.59,-6.44,6.73,1067316.0
GOLD,ANTM.JK,1,2.5,2,2026,6,3,3,50.0,-2.18,2.04,-11.81,-13.08,869179.0
GOLD,ANTM.JK,1,2.5,3,2026,6,2,4,33.33,-2.01,5.22,-9.03,-12.17,878282.0
GOLD,ANTM.JK,1,2.5,5,2026,6,3,3,50.0,-1.77,12.46,-11.81,-12.35,876465.0
GOLD,ANTM.JK,1,2.5,10,2026,6,2,4,33.33,-3.6,23.77,-23.45,-25.77,742258.0
GOLD,ANTM.JK,1,3.0,1,2026,3,2,1,66.67,0.61,2.04,-1.17,1.81,1018143.0
GOLD,ANTM.JK,1,3.0,2,2026,3,3,0,100.0,1.26,2.04,0.47,3.83,1038318.0
GOLD,ANTM.JK,1,3.0,3,2026,3,2,1,66.67,3.97,11.48,-1.6,11.93,1119341.0
GOLD,ANTM.JK,1,3.0,5,2026,3,2,1,66.67,0.44,6.12,-8.31,0.72,1007167.0
GOLD,ANTM.JK,1,3.0,10,2026,3,1,2,33.33,-5.22,8.16,-17.25,-16.37,836310.0
GOLD,ANTM.JK,1,5.0,1,2026,1,0,1,0.0,-4.51,-4.51,-4.51,-4.51,954900.0
GOLD,ANTM.JK,1,5.0,2,2026,1,0,1,0.0,-7.02,-7.02,-7.02,-7.02,929800.0
GOLD,ANTM.JK,1,5.0,3,2026,1,0,1,0.0,-2.51,-2.51,-2.51,-2.51,974900.0
GOLD,ANTM.JK,1,5.0,5,2026,1,0,1,0.0,0.0,0.0,0.0,0.0,1000000.0
GOLD,ANTM.JK,1,5.0,10,2026,1,1,0,100.0,5.76,5.76,5.76,5.76,1057600.0
GOLD,ANTM.JK,3,0.5,1,2026,8,3,5,37.5,-1.6,4.01,-11.82,-12.87,871291.0
GOLD,ANTM.JK,3,0.5,2,2026,8,5,3,62.5,0.54,9.74,-11.81,2.3,1022978.0
GOLD,ANTM.JK,3,0.5,3,2026,8,5,3,62.5,1.32,13.13,-9.03,8.55,1085523.0
GOLD,ANTM.JK,3,0.5,5,2026,7,3,4,42.86,-1.26,16.05,-14.59,-11.32,886757.0
GOLD,ANTM.JK,3,0.5,10,2026,7,3,4,42.86,1.3,22.92,-17.03,3.96,1039624.0
GOLD,ANTM.JK,3,1.0,1,2026,6,1,5,16.67,-2.84,4.01,-11.82,-16.58,834207.0
GOLD,ANTM.JK,3,1.0,2,2026,6,3,3,50.0,-0.62,9.74,-11.81,-5.34,946613.0
GOLD,ANTM.JK,3,1.0,3,2026,6,3,3,50.0,-0.9,11.17,-9.03,-6.9,931037.0
GOLD,ANTM.JK,3,1.0,5,2026,6,2,4,33.33,-1.12,16.05,-11.81,-8.84,911614.0
GOLD,ANTM.JK,3,1.0,10,2026,6,3,3,50.0,1.78,22.92,-23.45,4.24,1042361.0
GOLD,ANTM.JK,3,1.5,1,2026,6,3,3,50.0,0.58,4.01,-2.55,3.41,1034062.0
GOLD,ANTM.JK,3,1.5,2,2026,6,3,3,50.0,0.22,9.74,-11.81,-0.1,999048.0
GOLD,ANTM.JK,3,1.5,3,2026,6,2,4,33.33,-0.86,11.17,-9.03,-6.31,936906.0
GOLD,ANTM.JK,3,1.5,5,2026,6,2,4,33.33,-1.36,16.05,-12.97,-10.59,894088.0
GOLD,ANTM.JK,3,1.5,10,2026,6,2,4,33.33,-2.59,22.92,-17.41,-20.09,799125.0
GOLD,ANTM.JK,3,2.0,1,2026,6,3,3,50.0,0.58,4.01,-2.55,3.41,1034062.0
GOLD,ANTM.JK,3,2.0,2,2026,6,3,3,50.0,0.22,9.74,-11.81,-0.1,999048.0
GOLD,ANTM.JK,3,2.0,3,2026,6,2,4,33.33,-0.86,11.17,-9.03,-6.31,936906.0
GOLD,ANTM.JK,3,2.0,5,2026,6,2,4,33.33,-1.36,16.05,-12.97,-10.59,894088.0
GOLD,ANTM.JK,3,2.0,10,2026,6,2,4,33.33,-2.59,22.92,-17.41,-20.09,799125.0
GOLD,ANTM.JK,3,2.5,1,2026,6,3,3,50.0,0.26,4.01,-2.55,1.45,1014518.0
GOLD,ANTM.JK,3,2.5,2,2026,6,2,4,33.33,-1.05,9.74,-11.81,-7.28,927230.0
GOLD,ANTM.JK,3,2.5,3,2026,6,1,5,16.67,-2.6,11.17,-9.03,-15.74,842584.0
GOLD,ANTM.JK,3,2.5,5,2026,6,3,3,50.0,-1.04,16.05,-12.97,-8.84,911584.0
GOLD,ANTM.JK,3,2.5,10,2026,6,2,4,33.33,-2.92,22.92,-17.41,-21.52,784782.0
GOLD,ANTM.JK,3,3.0,1,2026,6,3,3,50.0,0.26,4.01,-2.55,1.45,1014518.0
GOLD,ANTM.JK,3,3.0,2,2026,6,2,4,33.33,-1.05,9.74,-11.81,-7.28,927230.0
GOLD,ANTM.JK,3,3.0,3,2026,6,1,5,16.67,-2.6,11.17,-9.03,-15.74,842584.0
GOLD,ANTM.JK,3,3.0,5,2026,6,3,3,50.0,-1.04,16.05,-12.97,-8.84,911584.0
GOLD,ANTM.JK,3,3.0,10,2026,6,2,4,33.33,-2.92,22.92,-17.41,-21.52,784782.0
GOLD,ANTM.JK,3,5.0,1,2026,3,2,1,66.67,3.13,10.96,-1.89,9.21,1092112.0
GOLD,ANTM.JK,3,5.0,2,2026,3,1,2,33.33,1.1,7.46,-2.53,3.04,1030445.0
GOLD,ANTM.JK,3,5.0,3,2026,3,1,2,33.33,-3.26,3.03,-6.47,-9.74,902641.0
GOLD,ANTM.JK,3,5.0,5,2026,3,1,2,33.33,-4.58,1.08,-12.97,-13.67,863337.0
GOLD,ANTM.JK,3,5.0,10,2026,3,1,2,33.33,-7.17,9.43,-17.41,-21.84,781591.0
GOLD,ANTM.JK,5,0.5,1,2026,7,3,4,42.86,-0.01,6.0,-4.34,-0.44,995568.0
GOLD,ANTM.JK,5,0.5,2,2026,7,3,4,42.86,-1.09,6.79,-12.15,-8.61,913895.0
GOLD,ANTM.JK,5,0.5,3,2026,7,4,3,57.14,-0.77,5.91,-10.41,-6.66,933444.0
GOLD,ANTM.JK,5,0.5,5,2026,7,4,3,57.14,-3.74,7.57,-17.14,-26.35,736503.0
GOLD,ANTM.JK,5,0.5,10,2026,7,3,4,42.86,-1.31,20.37,-21.04,-16.5,834955.0
GOLD,ANTM.JK,5,1.0,1,2026,7,3,4,42.86,-0.01,6.0,-4.34,-0.44,995568.0
GOLD,ANTM.JK,5,1.0,2,2026,7,3,4,42.86,-1.09,6.79,-12.15,-8.61,913895.0
GOLD,ANTM.JK,5,1.0,3,2026,7,4,3,57.14,-0.77,5.91,-10.41,-6.66,933444.0
GOLD,ANTM.JK,5,1.0,5,2026,7,4,3,57.14,-3.74,7.57,-17.14,-26.35,736503.0
GOLD,ANTM.JK,5,1.0,10,2026,7,3,4,42.86,-1.31,20.37,-21.04,-16.5,834955.0
GOLD,ANTM.JK,5,1.5,1,2026,6,2,4,33.33,-1.05,6.0,-6.44,-6.62,933827.0
GOLD,ANTM.JK,5,1.5,2,2026,6,3,3,50.0,-1.68,6.79,-12.15,-10.89,891140.0
GOLD,ANTM.JK,5,1.5,3,2026,6,3,3,50.0,-1.99,5.91,-10.41,-12.83,871674.0
GOLD,ANTM.JK,5,1.5,5,2026,6,3,3,50.0,-3.66,7.57,-17.14,-22.68,773238.0
GOLD,ANTM.JK,5,1.5,10,2026,6,3,3,50.0,-1.64,20.37,-23.45,-18.24,817591.0
GOLD,ANTM.JK,5,2.0,1,2026,6,2,4,33.33,-1.05,6.0,-6.44,-6.62,933827.0
GOLD,ANTM.JK,5,2.0,2,2026,6,3,3,50.0,-1.68,6.79,-12.15,-10.89,891140.0
GOLD,ANTM.JK,5,2.0,3,2026,6,3,3,50.0,-1.99,5.91,-10.41,-12.83,871674.0
GOLD,ANTM.JK,5,2.0,5,2026,6,3,3,50.0,-3.66,7.57,-17.14,-22.68,773238.0
GOLD,ANTM.JK,5,2.0,10,2026,6,3,3,50.0,-1.64,20.37,-23.45,-18.24,817591.0
GOLD,ANTM.JK,5,2.5,1,2026,6,2,4,33.33,-1.05,6.0,-6.44,-6.62,933827.0
GOLD,ANTM.JK,5,2.5,2,2026,6,3,3,50.0,-1.68,6.79,-12.15,-10.89,891140.0
GOLD,ANTM.JK,5,2.5,3,2026,6,3,3,50.0,-1.99,5.91,-10.41,-12.83,871674.0
GOLD,ANTM.JK,5,2.5,5,2026,6,3,3,50.0,-3.66,7.57,-17.14,-22.68,773238.0
GOLD,ANTM.JK,5,2.5,10,2026,6,3,3,50.0,-1.64,20.37,-23.45,-18.24,817591.0
GOLD,ANTM.JK,5,3.0,1,2026,6,1,5,16.67,-2.37,1.31,-6.44,-13.57,864318.0
GOLD,ANTM.JK,5,3.0,2,2026,6,2,4,33.33,-2.61,6.79,-12.15,-15.7,842985.0
GOLD,ANTM.JK,5,3.0,3,2026,6,2,4,33.33,-3.78,5.91,-10.41,-21.83,781740.0
GOLD,ANTM.JK,5,3.0,5,2026,6,3,3,50.0,-4.62,7.57,-17.14,-26.86,731414.0
GOLD,ANTM.JK,5,3.0,10,2026,6,3,3,50.0,-2.16,20.37,-23.45,-20.52,794785.0
GOLD,ANTM.JK,5,5.0,1,2026,4,1,3,25.0,-1.5,1.66,-2.91,-5.91,940861.0
GOLD,ANTM.JK,5,5.0,2,2026,4,1,3,25.0,0.52,12.8,-6.62,1.07,1010667.0
GOLD,ANTM.JK,5,5.0,3,2026,4,2,2,50.0,-0.83,9.24,-9.46,-4.39,956149.0
GOLD,ANTM.JK,5,5.0,5,2026,4,2,2,50.0,-4.82,2.37,-13.56,-18.78,812244.0
GOLD,ANTM.JK,5,5.0,10,2026,4,1,3,25.0,-6.05,9.43,-12.93,-23.43,765659.0
GOLD,ANTM.JK,10,0.5,1,2026,5,3,2,60.0,1.29,5.24,-4.93,6.17,1061749.0
GOLD,ANTM.JK,10,0.5,2,2026,5,4,1,80.0,2.21,4.2,-1.96,11.44,1114387.0
GOLD,ANTM.JK,10,0.5,3,2026,5,4,1,80.0,3.03,8.4,-1.96,15.78,1157774.0
GOLD,ANTM.JK,10,0.5,5,2026,5,3,2,60.0,1.15,11.89,-14.29,3.39,1033894.0
GOLD,ANTM.JK,10,0.5,10,2026,5,1,4,20.0,-4.04,9.86,-17.09,-20.4,796049.0
GOLD,ANTM.JK,10,1.0,1,2026,5,3,2,60.0,1.68,5.24,-4.93,8.3,1082975.0
GOLD,ANTM.JK,10,1.0,2,2026,5,4,1,80.0,2.61,4.2,0.0,13.67,1136665.0
GOLD,ANTM.JK,10,1.0,3,2026,5,4,1,80.0,1.48,8.4,-9.71,6.63,1066253.0
GOLD,ANTM.JK,10,1.0,5,2026,5,3,2,60.0,1.72,11.89,-11.43,6.84,1068393.0
GOLD,ANTM.JK,10,1.0,10,2026,5,1,4,20.0,-3.71,9.86,-15.43,-18.8,811987.0
GOLD,ANTM.JK,10,1.5,1,2026,5,4,1,80.0,4.22,7.78,0.0,22.78,1227759.0
GOLD,ANTM.JK,10,1.5,2,2026,5,4,1,80.0,3.73,8.07,0.0,19.88,1198784.0
GOLD,ANTM.JK,10,1.5,3,2026,5,4,1,80.0,2.31,8.4,-9.71,10.96,1109633.0
GOLD,ANTM.JK,10,1.5,5,2026,5,3,2,60.0,3.65,12.39,-11.43,16.87,1168743.0
GOLD,ANTM.JK,10,1.5,10,2026,5,1,4,20.0,-2.46,16.14,-15.43,-14.16,858403.0
GOLD,ANTM.JK,10,2.0,1,2026,4,3,1,75.0,2.09,4.44,0.0,8.53,1085339.0
GOLD,ANTM.JK,10,2.0,2,2026,4,2,2,50.0,-0.97,4.2,-9.71,-4.4,955974.0
GOLD,ANTM.JK,10,2.0,3,2026,4,3,1,75.0,0.06,8.4,-12.57,-1.05,989547.0
GOLD,ANTM.JK,10,2.0,5,2026,4,3,1,75.0,3.06,11.89,-15.14,10.15,1101527.0
GOLD,ANTM.JK,10,2.0,10,2026,4,1,3,25.0,-2.6,9.63,-15.43,-11.56,884400.0
GOLD,ANTM.JK,10,2.5,1,2026,4,3,1,75.0,2.09,4.44,0.0,8.53,1085339.0
GOLD,ANTM.JK,10,2.5,2,2026,4,2,2,50.0,-0.97,4.2,-9.71,-4.4,955974.0
GOLD,ANTM.JK,10,2.5,3,2026,4,3,1,75.0,0.06,8.4,-12.57,-1.05,989547.0
GOLD,ANTM.JK,10,2.5,5,2026,4,3,1,75.0,3.06,11.89,-15.14,10.15,1101527.0
GOLD,ANTM.JK,10,2.5,10,2026,4,1,3,25.0,-2.6,9.63,-15.43,-11.56,884400.0
GOLD,ANTM.JK,10,3.0,1,2026,4,3,1,75.0,2.09,4.44,0.0,8.53,1085339.0
GOLD,ANTM.JK,10,3.0,2,2026,4,2,2,50.0,-0.97,4.2,-9.71,-4.4,955974.0
GOLD,ANTM.JK,10,3.0,3,2026,4,3,1,75.0,0.06,8.4,-12.57,-1.05,989547.0
GOLD,ANTM.JK,10,3.0,5,2026,4,3,1,75.0,3.06,11.89,-15.14,10.15,1101527.0
GOLD,ANTM.JK,10,3.0,10,2026,4,1,3,25.0,-2.6,9.63,-15.43,-11.56,884400.0
GOLD,ANTM.JK,10,5.0,1,2026,3,3,0,100.0,2.78,4.44,0.27,8.53,1085339.0
GOLD,ANTM.JK,10,5.0,2,2026,3,2,1,66.67,1.94,4.2,-0.8,5.88,1058782.0
GOLD,ANTM.JK,10,5.0,3,2026,3,3,0,100.0,4.27,8.4,0.27,13.18,1131817.0
GOLD,ANTM.JK,10,5.0,5,2026,3,3,0,100.0,9.12,11.89,5.35,29.81,1298052.0
GOLD,ANTM.JK,10,5.0,10,2026,3,1,2,33.33,1.67,9.63,-4.61,4.58,1045761.0
GOLD,BRMS.JK,1,0.5,1,2026,7,3,4,42.86,-0.97,11.5,-14.67,-8.31,916872.0
GOLD,BRMS.JK,1,0.5,2,2026,7,4,3,57.14,-0.97,7.75,-17.37,-8.82,911833.0
GOLD,BRMS.JK,1,0.5,3,2026,7,2,5,28.57,-2.81,7.08,-16.6,-19.58,804211.0
GOLD,BRMS.JK,1,0.5,5,2026,7,2,5,28.57,-6.3,7.08,-26.25,-39.21,607901.0
GOLD,BRMS.JK,1,0.5,10,2026,7,1,6,14.29,-10.28,19.01,-28.18,-56.92,430807.0
GOLD,BRMS.JK,1,1.0,1,2026,7,2,5,28.57,-3.02,0.47,-14.67,-20.13,798721.0
GOLD,BRMS.JK,1,1.0,2,2026,7,2,5,28.57,-4.33,7.75,-17.37,-28.21,717889.0
GOLD,BRMS.JK,1,1.0,3,2026,7,1,6,14.29,-6.25,2.82,-16.6,-37.27,627322.0
GOLD,BRMS.JK,1,1.0,5,2026,7,1,6,14.29,-9.59,3.52,-26.25,-52.57,474270.0
GOLD,BRMS.JK,1,1.0,10,2026,6,2,4,33.33,-3.86,19.01,-19.31,-26.29,737061.0
GOLD,BRMS.JK,1,1.5,1,2026,6,2,4,33.33,-3.04,0.76,-14.67,-17.77,822307.0
GOLD,BRMS.JK,1,1.5,2,2026,6,3,3,50.0,-2.31,7.75,-17.37,-14.85,851544.0
GOLD,BRMS.JK,1,1.5,3,2026,6,1,5,16.67,-4.46,2.82,-16.6,-24.9,751037.0
GOLD,BRMS.JK,1,1.5,5,2026,6,1,5,16.67,-8.52,3.52,-26.25,-43.23,567707.0
GOLD,BRMS.JK,1,1.5,10,2026,6,1,5,16.67,-10.38,19.01,-28.18,-52.28,477242.0
GOLD,BRMS.JK,1,2.0,1,2026,6,2,4,33.33,-4.65,0.76,-14.67,-25.73,742681.0
GOLD,BRMS.JK,1,2.0,2,2026,6,3,3,50.0,-4.01,7.75,-17.37,-23.51,764857.0
GOLD,BRMS.JK,1,2.0,3,2026,6,1,5,16.67,-5.22,2.82,-16.6,-28.48,715206.0
GOLD,BRMS.JK,1,2.0,5,2026,6,1,5,16.67,-8.26,3.52,-26.25,-42.22,577794.0
GOLD,BRMS.JK,1,2.0,10,2026,6,1,5,16.67,-13.56,19.01,-32.34,-62.77,372264.0
GOLD,BRMS.JK,1,2.5,1,2026,6,2,4,33.33,-2.62,0.93,-10.18,-15.16,848380.0
GOLD,BRMS.JK,1,2.5,2,2026,6,2,4,33.33,-4.35,7.75,-14.02,-24.71,752931.0
GOLD,BRMS.JK,1,2.5,3,2026,6,1,5,16.67,-4.19,2.82,-10.75,-23.21,767852.0
GOLD,BRMS.JK,1,2.5,5,2026,6,1,5,16.67,-4.28,3.52,-8.41,-23.49,765110.0
GOLD,BRMS.JK,1,2.5,10,2026,6,1,5,16.67,-9.74,19.01,-32.34,-51.81,481903.0
GOLD,BRMS.JK,1,3.0,1,2026,3,1,2,33.33,-0.67,0.76,-2.77,-2.03,979689.0
GOLD,BRMS.JK,1,3.0,2,2026,3,2,1,66.67,2.69,7.75,-1.19,8.09,1080861.0
GOLD,BRMS.JK,1,3.0,3,2026,3,2,1,66.67,1.34,2.82,0.0,4.04,1040436.0
GOLD,BRMS.JK,1,3.0,5,2026,3,1,2,33.33,-4.05,3.52,-12.65,-12.32,876849.0
GOLD,BRMS.JK,1,3.0,10,2026,3,1,2,33.33,-10.17,19.01,-28.18,-32.77,672330.0
GOLD,BRMS.JK,1,5.0,1,2026,1,0,1,0.0,-1.51,-1.51,-1.51,-1.51,984900.0
GOLD,BRMS.JK,1,5.0,2,2026,1,0,1,0.0,-5.03,-5.03,-5.03,-5.03,949700.0
GOLD,BRMS.JK,1,5.0,3,2026,1,1,0,100.0,1.51,1.51,1.51,1.51,1015100.0
GOLD,BRMS.JK,1,5.0,5,2026,1,1,0,100.0,9.05,9.05,9.05,9.05,1090500.0
GOLD,BRMS.JK,1,5.0,10,2026,1,1,0,100.0,6.53,6.53,6.53,6.53,1065300.0
GOLD,BRMS.JK,3,0.5,1,2026,8,5,3,62.5,-0.96,2.07,-7.76,-7.81,921885.0
GOLD,BRMS.JK,3,0.5,2,2026,8,5,3,62.5,-1.57,4.56,-14.02,-13.44,865645.0
GOLD,BRMS.JK,3,0.5,3,2026,8,2,6,25.0,-3.57,5.06,-12.07,-26.2,737997.0
GOLD,BRMS.JK,3,0.5,5,2026,7,1,6,14.29,-5.73,1.66,-10.34,-34.35,656528.0
GOLD,BRMS.JK,3,0.5,10,2026,7,3,4,42.86,-2.96,14.66,-19.33,-24.18,758212.0
GOLD,BRMS.JK,3,1.0,1,2026,6,3,3,50.0,-3.17,2.07,-10.18,-18.17,818251.0
GOLD,BRMS.JK,3,1.0,2,2026,6,3,3,50.0,-4.59,4.56,-14.02,-25.83,741653.0
GOLD,BRMS.JK,3,1.0,3,2026,6,0,6,0.0,-6.8,-0.83,-12.07,-34.85,651544.0
GOLD,BRMS.JK,3,1.0,5,2026,6,1,5,16.67,-5.75,1.66,-10.34,-30.4,696035.0
GOLD,BRMS.JK,3,1.0,10,2026,6,3,3,50.0,-3.42,14.66,-32.34,-26.69,733147.0
GOLD,BRMS.JK,3,1.5,1,2026,6,3,3,50.0,-0.92,2.07,-4.72,-5.64,943636.0
GOLD,BRMS.JK,3,1.5,2,2026,6,3,3,50.0,-2.41,4.56,-14.02,-14.77,852253.0
GOLD,BRMS.JK,3,1.5,3,2026,6,1,5,16.67,-4.46,2.67,-10.75,-24.49,755105.0
GOLD,BRMS.JK,3,1.5,5,2026,6,2,4,33.33,-4.46,2.67,-17.29,-25.15,748461.0
GOLD,BRMS.JK,3,1.5,10,2026,6,2,4,33.33,-9.51,12.42,-28.77,-50.06,499438.0
GOLD,BRMS.JK,3,2.0,1,2026,6,3,3,50.0,-0.92,2.07,-4.72,-5.64,943636.0
GOLD,BRMS.JK,3,2.0,2,2026,6,3,3,50.0,-2.41,4.56,-14.02,-14.77,852253.0
GOLD,BRMS.JK,3,2.0,3,2026,6,1,5,16.67,-4.46,2.67,-10.75,-24.49,755105.0
GOLD,BRMS.JK,3,2.0,5,2026,6,2,4,33.33,-4.46,2.67,-17.29,-25.15,748461.0
GOLD,BRMS.JK,3,2.0,10,2026,6,2,4,33.33,-9.51,12.42,-28.77,-50.06,499438.0
GOLD,BRMS.JK,3,2.5,1,2026,6,3,3,50.0,-1.12,2.07,-5.77,-6.81,931868.0
GOLD,BRMS.JK,3,2.5,2,2026,6,2,4,33.33,-3.17,4.56,-14.02,-18.55,814471.0
GOLD,BRMS.JK,3,2.5,3,2026,6,1,5,16.67,-4.23,2.67,-10.75,-23.42,765793.0
GOLD,BRMS.JK,3,2.5,5,2026,6,3,3,50.0,-2.96,8.33,-17.29,-18.39,816113.0
GOLD,BRMS.JK,3,2.5,10,2026,6,2,4,33.33,-9.97,9.62,-28.77,-51.3,486999.0
GOLD,BRMS.JK,3,3.0,1,2026,6,3,3,50.0,-1.12,2.07,-5.77,-6.81,931868.0
GOLD,BRMS.JK,3,3.0,2,2026,6,2,4,33.33,-3.17,4.56,-14.02,-18.55,814471.0
GOLD,BRMS.JK,3,3.0,3,2026,6,1,5,16.67,-4.23,2.67,-10.75,-23.42,765793.0
GOLD,BRMS.JK,3,3.0,5,2026,6,3,3,50.0,-2.96,8.33,-17.29,-18.39,816113.0
GOLD,BRMS.JK,3,3.0,10,2026,6,2,4,33.33,-9.97,9.62,-28.77,-51.3,486999.0
GOLD,BRMS.JK,3,5.0,1,2026,3,2,1,66.67,-0.87,2.4,-5.77,-2.78,972152.0
GOLD,BRMS.JK,3,5.0,2,2026,3,1,2,33.33,0.1,3.6,-2.56,0.19,1001907.0
GOLD,BRMS.JK,3,5.0,3,2026,3,0,3,0.0,-6.22,-2.56,-11.6,-17.75,822522.0
GOLD,BRMS.JK,3,5.0,5,2026,3,1,2,33.33,-7.52,8.33,-17.29,-22.59,774142.0
GOLD,BRMS.JK,3,5.0,10,2026,3,1,2,33.33,-14.4,9.62,-28.42,-40.68,593203.0
GOLD,BRMS.JK,5,0.5,1,2026,7,4,3,57.14,0.37,6.85,-5.16,2.11,1021145.0
GOLD,BRMS.JK,5,0.5,2,2026,7,3,4,42.86,-2.33,7.43,-15.84,-16.65,833509.0
GOLD,BRMS.JK,5,0.5,3,2026,7,3,4,42.86,-3.03,5.94,-15.35,-20.94,790619.0
GOLD,BRMS.JK,5,0.5,5,2026,7,3,4,42.86,-5.68,18.49,-25.25,-38.42,615778.0
GOLD,BRMS.JK,5,0.5,10,2026,7,2,5,28.57,-10.47,17.12,-33.17,-59.1,409005.0
GOLD,BRMS.JK,5,1.0,1,2026,7,4,3,57.14,0.37,6.85,-5.16,2.11,1021145.0
GOLD,BRMS.JK,5,1.0,2,2026,7,3,4,42.86,-2.33,7.43,-15.84,-16.65,833509.0
GOLD,BRMS.JK,5,1.0,3,2026,7,3,4,42.86,-3.03,5.94,-15.35,-20.94,790619.0
GOLD,BRMS.JK,5,1.0,5,2026,7,3,4,42.86,-5.68,18.49,-25.25,-38.42,615778.0
GOLD,BRMS.JK,5,1.0,10,2026,7,2,5,28.57,-10.47,17.12,-33.17,-59.1,409005.0
GOLD,BRMS.JK,5,1.5,1,2026,6,2,4,33.33,-1.58,6.85,-10.18,-9.98,900202.0
GOLD,BRMS.JK,5,1.5,2,2026,6,2,4,33.33,-3.99,7.43,-15.84,-23.12,768811.0
GOLD,BRMS.JK,5,1.5,3,2026,6,2,4,33.33,-3.59,5.94,-15.35,-21.08,789162.0
GOLD,BRMS.JK,5,1.5,5,2026,6,3,3,50.0,-4.38,18.49,-25.25,-28.87,711281.0
GOLD,BRMS.JK,5,1.5,10,2026,6,2,4,33.33,-12.72,17.12,-33.17,-61.85,381528.0
GOLD,BRMS.JK,5,2.0,1,2026,6,2,4,33.33,-1.58,6.85,-10.18,-9.98,900202.0
GOLD,BRMS.JK,5,2.0,2,2026,6,2,4,33.33,-3.99,7.43,-15.84,-23.12,768811.0
GOLD,BRMS.JK,5,2.0,3,2026,6,2,4,33.33,-3.59,5.94,-15.35,-21.08,789162.0
GOLD,BRMS.JK,5,2.0,5,2026,6,3,3,50.0,-4.38,18.49,-25.25,-28.87,711281.0
GOLD,BRMS.JK,5,2.0,10,2026,6,2,4,33.33,-12.72,17.12,-33.17,-61.85,381528.0
GOLD,BRMS.JK,5,2.5,1,2026,6,2,4,33.33,-1.58,6.85,-10.18,-9.98,900202.0
GOLD,BRMS.JK,5,2.5,2,2026,6,2,4,33.33,-3.99,7.43,-15.84,-23.12,768811.0
GOLD,BRMS.JK,5,2.5,3,2026,6,2,4,33.33,-3.59,5.94,-15.35,-21.08,789162.0
GOLD,BRMS.JK,5,2.5,5,2026,6,3,3,50.0,-4.38,18.49,-25.25,-28.87,711281.0
GOLD,BRMS.JK,5,2.5,10,2026,6,2,4,33.33,-12.72,17.12,-33.17,-61.85,381528.0
GOLD,BRMS.JK,5,3.0,1,2026,6,1,5,16.67,-3.68,3.47,-10.18,-20.61,793879.0
GOLD,BRMS.JK,5,3.0,2,2026,6,1,5,16.67,-4.53,7.43,-15.84,-25.59,744070.0
GOLD,BRMS.JK,5,3.0,3,2026,6,1,5,16.67,-4.7,5.94,-15.35,-26.14,738603.0
GOLD,BRMS.JK,5,3.0,5,2026,6,3,3,50.0,-6.07,8.33,-25.25,-34.97,650291.0
GOLD,BRMS.JK,5,3.0,10,2026,6,2,4,33.33,-13.97,9.62,-33.17,-64.29,357097.0
GOLD,BRMS.JK,5,5.0,1,2026,4,1,3,25.0,-1.92,1.63,-5.77,-7.59,924145.0
